"date"	"matchup"	"team"	"min"	"tpm"	"tpa"	"oreb"	"dreb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"HA"
20041121	"CHA@DET"	"CHA"	290	5	9	15	29	27	5	11	17	33	116	-1
20041121	"CHA@DET"	"DET"	290	5	11	18	32	24	9	4	14	31	117	1
20041121	"PHI@MIA"	"PHI"	240	3	14	10	24	17	11	2	14	24	83	-1
20041121	"PHI@MIA"	"MIA"	240	6	15	14	31	18	7	8	19	26	93	1
20041121	"CLE@NYK"	"CLE"	240	3	9	10	25	24	9	6	18	17	88	-1
20041121	"CLE@NYK"	"NYK"	240	4	12	7	29	23	10	5	16	16	98	1
20041121	"HOU@POR"	"HOU"	240	7	16	14	26	25	2	6	10	21	97	-1
20041121	"HOU@POR"	"POR"	240	3	14	16	23	15	2	2	5	19	93	1
20041121	"DAL@DEN"	"DAL"	240	1	9	11	28	19	14	4	20	28	82	-1
20041121	"DAL@DEN"	"DEN"	240	6	15	10	38	35	12	7	19	22	110	1
20041121	"MIL@SAC"	"MIL"	240	3	15	11	38	16	5	1	13	24	79	-1
20041121	"MIL@SAC"	"SAC"	240	4	13	10	41	25	8	5	13	18	88	1
20041121	"CHI@LAL"	"CHI"	240	7	23	6	27	28	9	1	12	26	93	-1
20041121	"CHI@LAL"	"LAL"	240	11	24	19	33	24	7	2	17	28	102	1
20041122	"SAS@MEM"	"SAS"	240	4	15	20	22	13	7	6	20	13	90	-1
20041122	"SAS@MEM"	"MEM"	240	5	13	12	23	19	14	5	17	26	93	1
20041122	"MIN@DAL"	"MIN"	240	1	12	16	42	16	5	8	18	22	83	-1
20041122	"MIN@DAL"	"DAL"	240	3	13	16	32	15	10	7	7	20	82	1
20041122	"CHI@PHX"	"CHI"	240	5	18	16	29	14	6	3	17	25	82	-1
20041122	"CHI@PHX"	"PHX"	240	7	30	13	38	22	4	6	15	22	100	1
20041122	"NOP@UTZ"	"NOP"	240	1	9	17	31	16	7	5	12	25	76	-1
20041122	"NOP@UTZ"	"UTZ"	240	2	7	10	27	16	8	11	14	24	75	1
20041123	"DET@CHA"	"DET"	240	3	8	7	25	16	7	9	16	23	89	-1
20041123	"DET@CHA"	"CHA"	240	1	2	16	28	25	8	2	15	22	91	1
20041123	"BOS@IND"	"BOS"	239	8	25	9	24	19	10	7	16	28	96	-1
20041123	"BOS@IND"	"IND"	238	7	19	13	32	17	9	3	17	18	106	1
20041123	"TOR@WAS"	"TOR"	240	5	18	13	34	17	4	7	10	21	86	-1
